id|class|attribute|sentimen|tweet_asli|tweet|clean_tweet|attribute_new
0|ekonomi|harga|negatif|Kata @prabowo Indonesia tidak dihargai bangsa asing!   Berita ini ðŸ‘‡ pasti hoax buatan penguasa, ya kan @rockygerung?ðŸ˜œ https://twitter.com/mediaindonesia/status/1117575436337160192?s=21Â â€¦|indonesia harga bangsa asing berita hoax buat kuasa| indonesia dihargai bangsa asing berita hoax buatan penguasa|kesejahteraan
1|ekonomi|harga|netral|Batuan Langka, Tasbih Jokowi Hadiah dari Habib Luthfi Seharga Mercy?  http://dlvr.it/R2pvZVÂ |batu langka tasbih jokowi hadiah habib luthfi harga mercy| batuan langka tasbih jokowi hadiah habib luthfi seharga mercy|kesejahteraan
2|ekonomi|ekonomi|netral|Di era Jokowi, ekonomi Indonesia semakin baik. #01IndonesiaMaju #JokowiLagi #JokowiMenangTotalDebat pic.twitter.com/W2ythnxsTp|era jokowi ekonomi indonesia| era jokowi ekonomi indonesia|lapangan kerja
3|ekonomi|ekonomi|positif|Bagi Sumatera Selatan, Asian Games berdampak pd ekonomi langsung diprediksi mencapai 18,5 triliun. Indonesia maju, Jokowi hebat!|sumatera selatan asi games dampak ekonomi langsung prediksi capai 18 5 triliun indonesia maju jokowi hebat| sumatera selatan asian games berdampak ekonomi langsung diprediksi mencapai triliun indonesia maju jokowi hebat|ekonomi
4|ekonomi|penghasilan|negatif|Negara kita ngutang buat bngun infrastruktur yang udah dipake masyarakat, terus masyarakatnya ngeluh karena negara ngutang, setiap negara itu pasti ngutang,  utang bisa dibayar kalo negara dapet penghasilan. Penghasilan negara itu ya dari pajak|negara ngutang bngun infrastruktur udah dipake masyarakat masyarakat ngeluh negara ngutang negara ngutang utang bayar negara dapet hasil hasil negara pajak| negara ngutang bngun infrastruktur dipake masyarakat masyarakatnya ngeluh negara ngutang negara ngutang utang dibayar negara dapet penghasilan penghasilan negara pajak|lapangan kerja
5|ekonomi|pertumbuhan|netral|Yg bisikin pak jokowi, cm mikirin perputaran duit di golongan tertentu. E-Sports hanya sebagian kecil dr sekian besar penentu pertumbuhan perekonomian Indonesia, bukan hal fundamental. Betul yg dikatakan prabowo, walau dgn bhs yg sederhana, tp mrpkan aspek fundamental ekonomi|bisikin jokowi mikirin putar duit golong e sports sekian tentu tumbuh ekonomi indonesia fundamental prabowo dgn bhs sederhana mrpkan aspek fundamental ekonomi| bisikin jokowi mikirin peutaran duit golongan esports sekian penentu pertumbuhan perekonomian indonesia fundamental prabowo bhs sederhana mkan aspek fundamental ekonomi|lapangan kerja
6|ekonomi|harga|positif|Masa tenang msih ngoceh aja..ttp jokowi harga mati...|tenang msih ngoceh jokowi harga mati| tenang msih ngoceh ttp jokowi harga mati|ekonomi
7|ekonomi|ekonomi|positif|#UASdifitnahKejiBalasDiTPS   kerjasa ekonomi bilateral, multilateral kita doakan di TPS sambil dengarkan suara hati...  #UASdifitnahKejiBalasDiTPS|kerjasa ekonomi bilateral multilateral doa tps dengar suara hati| kerjasa ekonomi bilateral multilateral doakan tps dengarkan suara hati|ekonomi
8|ekonomi|ekonomi|netral|Iya bener Aa, kita MANTAP kan pilihan ke Pemimpin yg bs memberi Solusi @jokowi bukan yg menyalahkan pemimpin sebelumnya @SBYudhoyono dismash sm mas Bowo, percuma koalisi klau mengantam tmn koalisi ðŸ˜‚ & yg plg penting pilih Pemimpin yg Rajin Ibadah Wajib, Bisa NGAJI & JumatanðŸ™ðŸ‘|iya bener mantap pilih pimpin solusi salah pimpin dismash bowo koalisi mengantam tmn koalisi plg pilih pimpin rajin ibadah wajib ngaji jumat| iya bener aa mantap pilihan pemimpin solusi menyalahkan pemimpin dismash bowo koalisi mengantam tmn koalisi plg pilih pemimpin rajin ibadah wajib ngaji jumatan|kesejahteraan
9|ekonomi|gaji|negatif|Prabowo-Sandi Sepakat Tak Ambil Gaji karena Negara Sedang Susah  https://www.goaceh.co/artikel/serbaserbi/2019/04/14/prabowosandi-sepakat-tak-ambil-gaji-karena-negara-sedang-susah/?utm_source=dlvr.it&utm_medium=twitterÂ â€¦ .. ... #GoAceh|prabowo sandi sepakat ambil gaji negara susah| prabowosandi sepakat ambil gaji negara susah|kesejahteraan
10|ekonomi|ekonomi|positif|#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih Pilih pemimpin itu yg udh jelas banyak pencapaiannya. Nah, ini dia 5 pencapaian ekonomi selama pemerintahan Jokowi. Coblos 01 Yuk Kerja Pasti !   https://bit.ly/2OgymxtÂ |pilih pimpin pencapaianya 5 capai ekonomi perintah jokowi coblos 01 kerja| pilih pemimpin pencapaiannya pencapaian ekonomi pemerintahan jokowi coblos kerja|ekonomi
11|ekonomi|penghasilan|positif|Calon presiden Jokowi menjelaskan program Kartu Pra Kerja akan memberikan insentif dalam kurun waktu tertentu, bukan berarti memberikan gaji secara cuma-cuma bagi masyarakat yang belum berpenghasilan. #2019JokowiKyaiMaruf pic.twitter.com/Nj2hhmiIzv|calon presiden jokowi program kartu pra kerja insentif kurun gaji masyarakat hasil| calon presiden jokowi program kartu pra kerja insentif kurun gaji cumacuma masyarakat beenghasilan|kesejahteraan
12|ekonomi|ekonomi|negatif|Gak nginti Lu to @yunartowijaya, dan si @AT_AbdillahToha juga gak ngacaaa,, Gak usah ngajarin Sandi soal ekonomi dibanding Jokowi.|gak nginti gak ngaca gak ngajarin sandi ekonomi banding jokowi| nginti abdillahtoha ngacaaa ngajarin sandi ekonomi dibanding jokowi|ekonomi
13|ekonomi|harga|positif|Menurut Jokowi, pemerintah selalu berupaya menjaga keseimbangan agar harga pada posisi normal. Petani sebagai produsen senang karena hasil kerjanya dihargai secara layak. #2019JokowiKyaiMaruf #RakyatInginJokowiMenang  https://twitter.com/tag_nusantara/status/1061792783114022912/photo/1 pic.twitter.com/YZpyj7IhSoÂ |jokowi perintah upaya jaga imbang harga posisi normal tani produsen senang hasil kerja harga layak| jokowi pemerintah berupaya menjaga keseimbangan harga posisi normal petani produsen senang hasil kerjanya dihargai layak|lapangan kerja
14|ekonomi|ekonomi|netral|Terlalu berat nge bahas ekonomi dgn angka2.. Cukup bahas mobil lejen aj,|berat bahas ekonomi dgn angka bahas mobil lejen| berat bahas ekonomi angka bahas mobil lejen|lapangan kerja
