id|sentimen|clean_tweet
0|negatif| indonesia dihargai bangsa asing berita hoax buatan penguasa
1|netral| batuan langka tasbih jokowi hadiah habib luthfi seharga mercy
2|netral| era jokowi ekonomi indonesia
3|positif| sumatera selatan asian games berdampak ekonomi langsung diprediksi mencapai triliun indonesia maju jokowi hebat
4|negatif| negara ngutang bngun infrastruktur dipake masyarakat masyarakatnya ngeluh negara ngutang negara ngutang utang dibayar negara dapet penghasilan penghasilan negara pajak
5|netral| bisikin jokowi mikirin peutaran duit golongan esports sekian penentu pertumbuhan perekonomian indonesia fundamental prabowo bhs sederhana mkan aspek fundamental ekonomi
6|positif| tenang msih ngoceh ttp jokowi harga mati
7|positif| kerjasa ekonomi bilateral multilateral doakan tps dengarkan suara hati
8|netral| iya bener aa mantap pilihan pemimpin solusi menyalahkan pemimpin dismash bowo koalisi mengantam tmn koalisi plg pilih pemimpin rajin ibadah wajib ngaji jumatan
9|negatif| prabowosandi sepakat ambil gaji negara susah
10|positif| pilih pemimpin pencapaiannya pencapaian ekonomi pemerintahan jokowi coblos kerja
11|positif| calon presiden jokowi program kartu pra kerja insentif kurun gaji cumacuma masyarakat beenghasilan
12|negatif| nginti abdillahtoha ngacaaa ngajarin sandi ekonomi dibanding jokowi
13|positif| jokowi pemerintah berupaya menjaga keseimbangan harga posisi normal petani produsen senang hasil kerjanya dihargai layak
14|netral| berat bahas ekonomi angka bahas mobil lejen
15|netral| mantulz mengisi tenang umroh kel tercinta istri anak ahirnya keluarga asset plg berharga sehat sll pakdeee
16|positif| sisi industri kreatif inovatif era industri global jokowi tergerak mengubah badan ekonomi kreatif bekraf kementerian coblos kerja
17|positif| pakta integritas prabowo sandi ulama terlibat ijtimak ulama pancasila nkri harga mati khilafah khilafah bualan makhluk kolam
18|netral| dengar mbak vidya curup beli lipstik purbasari harga ribu beli lipstik nyx ribu
19|positif| prabowo tni puluhan ambil gajinya serupiah sandi wagub susah cari orang ambil gaji hasil kerja negara
20|netral| assalamu alaikum suara sgt berharga upaya memenangkan merelakan suara jkt ktp daerah semoga suara disertakan terbalaskan doa semoga allah swt mengabulkan aamiin rabb
21|negatif| teilih prabowosandiaga janji ambil gaji orangorang superkaya rendah hatilah berkonotasi angkuh
22|negatif| menghargai relawan puasa tirakatan munajad semalam suntuk berdoa kemenangan mhn dibalas tweet kontribusi ngopi rokok tirakat mujahadah gagal tirakat munajad
23|positif| prabowo sandi menang otomatis bersedekah kaum farkir miskin dhuafa gaji berfua diambil disedekahkan
24|positif| kepercayaan mrk beengalaman memiliki wakil beengalaman dibidang ekonomi coblos
25|negatif| ummat islam waras cerdas senang beramal coblos prabowo andil beramal gaji beliau diambil untk amal
26|positif| keberhasilan dibidang infrastruktur jokowi berhasil memperbaiki ekonomi indonesia coblos
27|negatif| model ngeles petruk ketaker berbusa didepan sandi ngomongin ekonomi makro congkaknya untung sandi sabar kick pantesan menterinya pintar mbodoni juragannya gini pek
28|positif| memilih bersodakoh prabowo sandi menyumbangkan gaji negara fakir miskin yatim piatu masjid jadikan prabowo sandi presiden wakil presiden ri
29|positif| alhamdulillah capres sedekahkan gajinya rakyat miskin korban gempa pasigala butuh bantuan
30|netral| sayah percaya saudara seperjuangan ikhlas negeri berubah lebik lg masyarakatnya damai tenang aman kesejahteraan meningkat harga rendah stabil
31|negatif| polri gakan ladenin pulisi pulisi gaji pake duit bukaan rakyat lapor tunggu ganti presiden
32|negatif| baguslah pendukung jokowi tebang pohon golok gergaji ranting pohon elektabilitas jokowi nyungseb lawan politiknya pendukung tolol dipelihara dasar ebong
33|positif| harga cabai harga bawang petaninya kasihan jokowi
34|netral| presiden jokowi raja salman sepakat tingkatkan kerjasama ekonomi via
35|negatif| kelar hidupmu bisanya harga mahal turunkan solusi kubu prabowo bahlull
36|positif| terima gaji sbg presiden wapres disumbangkan negara fakir miskin sejarah bangsa indonesia debat pilpres pernyataan penutup prabowosandiaga uno
37|positif| infrastructure bangun pakai uang pribadi mendukung pakai pajak warga negara bayar
38|positif| penghargaan dianugerahkan bukti sosok pemimpin diakui integritasnya
39|positif| bersatu jokowikma pencapaian berhasil tercapai pertumbuhan ekonomi era pemerintahan jk meningkat
40|netral| orang negeri menghargai prestasi jokowi dinegaranya mencaci
41|netral| maaf rakyat butuh pelukan rakyat butuh harga sembako murah listrik tarif turunkan butuh lap kerja janji
42|netral| winter coming pidato jokowi imf bank dunia ekonomi dunia game thrones game throne presiden jokowi kekuatan kalahkan evil winter
43|positif| april pilih jokowikma pertumbuhan ekonomi pemerataan zaman jokowi pertumbuhan ekonomi pemerataan pembangunan
44|netral| jokowi raja salman sepakat tingkatkan kerja ekonomi
45|negatif| surga bahagia bahagiaku sempurna tanpamu gandeng tangan prabowo ustad masuk surga ckckckck salah milih guru ngaji
46|negatif| anggota id layak digaji malu diutamakan isi perut gede minim torehan prestasi cc
47|netral| gasah mengejek program jokowi program dipikirkan mateng program kis mari hargai menghujat
48|netral| monggo silahkan hak hargai perubahan
49|positif| penghargaan dianugerahkan bukti sosok pemimpin diakui integritasnya
50|negatif| bijak antek orba pikirkan letjen pecatan bilang biang kerok ekonomi indonesia presiden jokowi jenderal sby gimana demokrat beralih dukungan jokowi coba
51|netral| presiden jokowi raja salman sepakat tingkatkan kerja ekonomi via
52|netral| kasih tau penghargaan dianugerahkan bukti sosok pemimpin diakui integritasnya
53|netral| presiden jokowi raja salman sepakat tingkatkan kerja ekonomi via netizen
54|positif| penjelasannya cawapres komitmen terkait ekonomi umat disebutnya arus ekonomi indonesia membangun ekonomi
55|positif| menterinya berestasi pemimpinnya era dimana menterinya meraih penghargaan
56|negatif| jokowi naikkan tax ratio drastis guncang ekonomi
57|positif| pencapaian berhasil tercapai pertumbuhan ekonomi era pemerintahan jk meningkat
58|negatif| disitu jokowi membahas game online pemain profesional piala presiden mobile legend hadiahnya bersaing didunia online game ekonomi
59|positif| april pilih jokowikma ngerti jokowi belajar ngaji pejabat murni mendalami agama unsur pencitraan
60|positif| from sandiuno repost media app prabowosandi gagal fokus pembangunan besarbesaran berdampak langsung ekonomi kesejahteraan
61|negatif| alasan prabowosandi terima gaji menang negara susah
62|negatif| pikirkan letjen pecatan bilang biang kerok ekonomi presiden jokowi jenderal sby jenderal soeharto bintang sampe dungu
63|netral| jokowi capaian pertumbuhan disyukuri indonesia tumbuh kondisi ekonomi global bergejolak
64|positif| janji ambil gaji menang pilpres prabowo bukti tulus
65|negatif| bersuara keadilan suara id kerja makan gaji buta curang
66|negatif| jokowi prabowo sandi pecicilan pesimis jalan ekonomi makro mikro tau
67|positif| kasih tau menterinya berestasi pemimpinnya era dimana menterinya meraih penghargaan
68|netral| berita terbaru prabowo naikkan pajak persen setahun
69|positif| jokowi pembangunan merevitalisasi pasar rakyat dasar utama pembangunan ekonomi berbasis kerakyatan kekuatan ekonomi indonesia stabil
70|netral| kasih tau pencapaian berhasil tercapai pertumbuhan ekonomi era pemerintahan jk meningkat
71|positif| presiden bangunkan spbu setelag kabupaten puncak jaya papua harga ribu liter liter
72|positif| bersatu menangkan brbagai upaya membangun indonesia bebas korupsi pelayanan berbasis elektronik sistem pengaduan masyarakat penghargaan masyarakat mengungkap korupsi
73|negatif| leres salah aspek faktor ekonomi bertumbuh stabilitas politik negeri kepastian keadilan penegakan hukum pripun kabare
74|negatif| pendidikannya tentara ayahnya ekonom legendaris indonesia kali ngerti makro mikro makro mikro pelajaran semester fakultas ekonomi cmiiw ketauan jae belajar ekonomi kacaw
75|netral| bangga jalan ekonomi jatuh nengara menag buka jalanya megah hasil bumi laut melimpah ruah idonesia maju pemenang
77|netral| jokowi bangunkan spbu setelag kabupaten puncak jaya papua harga ribu liter liter
78|netral| jas harga mahal pakaian orang eropa amerika
79|netral| prabowo janjikan harga karet kelapa sawit bikin senyum petani
80|netral| orang dihargai raja arab saudi pemimpin
81|negatif| mencontoh ekonomi china sujud
82|positif| fyi pencapaian berhasil tercapai pertumbuhan ekonomi era pemerintahan jk meningkat
84|netral| kepercayaan mrk beengalaman memiliki wakil beengalaman dibidang ekonomi
85|negatif| gaji presiden wakil presiden tunjangannya ambil sepeseun gaji tunjangan hebat jualan gaji namanya jualan basi
86|positif| mengharap ketulusan karyawan menuntut gaji
87|netral| jamu jokowi raja salman sajikan nasi mandhi warta ekonomi
88|positif| pertumbuhan ekonomi pemerataan zaman jokowi pertumbuhan ekonomi pemerataan pembangunan
89|negatif| moslem menghormati menghargai umat agama cinta damai islam mengajarkan berbuat manusia terkecuali kamipun pendukung bhineka tunggal ika
90|positif| ambil gaji serupiah teilih sbg presiden ri alm gus orang ihlas indonesia prabowo
91|netral| jokowima ruf bicara pengalaman prabowosandi janji ambil gaji
92|netral| pilih pemimpin pencapaiannya pencapaian ekonomi pemerintahan jokowi
93|negatif| suudzon samping umroh jokowi membahas kerja bidang ekonomi pemerintahan arab saudi nyinyir urus junjunganmu ziarah kubur nyembah kuburan
94|positif| pemerintah jokowi menyebut ekonomi indonesia tangan anakanak muda kreatif
95|positif| keberhasilan dibidang infrastruktur jokowi berhasil memperbaiki ekonomi indonesia
96|positif| jokowima ruf pemimpin indonesia penghargaan dianugerahkan bukti sosok pemimpin diakui integritasnya
97|negatif| mahal banget hasilkan harganya mahal power plant produksi
98|netral| jokowi bahas ekonomi makro mikro makanan sehari sandiaga fatal et keluarlah ispot sejenis revolusi futuristik otaknya antik
99|negatif| prabowosandi sepakat ekonomi indonesia salah arah
100|negatif| prabowosandi sepakat ekonomi indonesia salah arah via
103|netral| fyi penghargaan dianugerahkan bukti sosok pemimpin diakui integritasnya
104|negatif| wanita cerewat suaminya cerewet tukang sayur harganya
105|negatif| emang prabowo seenggaknya prepare persona agamis kaya belajar ngaji gtgt menang counter jokowi rekrut ma bikin ketebak alurnya asli dah prabowo islami aslinya biar menang
106|netral| sisi industri kreatif inovatif era industri global jokowi tergerak mengubah badan ekonomi kreatif bekraf kementerian
107|netral| buka porov jateng ganjar kepala daerah contoh jokowi hargai atlet
108|netral| mudzakir guru ngaji jokowi anakanak orang dewasa diajari membaca quran privat
109|netral| indonesia maju pertumbuhan ekonomi pemerataan zaman jokowi pertumbuhan ekonomi pemerataan pembangunan
110|positif| jokowi mendukung esport indonesia mobile legend pubg free fire prabowo memperdulikan sandang pangan harga harga turun pilihan skarang
111|netral| april pilih jokowikma pilih pemimpin pencapaiannya pencapaian ekonomi pemerintahan jokowi
112|negatif| masyarakat nyata membayar pajak dieksploitasi dirampok hak hartanya menetapkan aturan meraup keuntungan mengeksploitasi merampok harta negara bangsa menghindari pajak
113|netral| april coblos jokowima ruf pilih pemimpin pencapaiannya pencapaian ekonomi pemerintahan jokowi
115|netral| april pilih jokowikma pemerintah jokowi menyebut ekonomi indonesia tangan anakanak muda kreatif
117|negatif| ngaruh jokowi kutub utara rakyat taunya barang harga harga murah berobat gampang kemana hutang negara nambah
118|netral| teilih presiden wapres prabowosandi berjanji gajinya kaum miskin
120|netral| demokrat prabowo hargai kontribusi presiden
121|positif| jokowikma pemimpin optimis penghargaan dianugerahkan bukti sosok pemimpin diakui integritasnya
122|positif| madura prabowo harga mati
123|positif| prabowo harga mati titik
124|netral| jokowi pengusaha mebel solo mudzakir guru ngaji oleholeh muridnya sepulang jerman korek api zippo
125|netral| pencapaian berhasil tercapai pertumbuhan ekonomi era pemerintahan jk meningkat
126|netral| hargai sikap lgsg unfol tau mslah sblm aneh bikin tweet mention brsangkutan tujuan kontraproduktif lgsg diunfol
127|negatif| allah mgkn sosok seorg jokowi berani capres mgkn tlg fitnah presidenku jokowi jln beliau presiden dihargai curiga blg cawapres
128|positif| pertumbuhan ekonomi pemerataan tau zaman pertumbuhan ekonomi pemerataan pembangunan
131|negatif| gaji mah cegah berantas korupsi cegah berantas korupsi kolusi nepotisme masyarakat jokowi ahok dipercaya masyarakat kemauan keberanian berantas korupsi kolusi nepotisme
133|negatif| ngerti n nyambung ml emng ml nyambung tema debat djawab n dbahas rakyat utama kestabilan harga pangan n ketersediaannya petani sndr negara agraris sembrang import
134|positif| mencoblos beramal teilih insyaallah menginfakkan gajinya kaum dhuafa suara siasia kawan mari dukung niat
135|netral| pilih pemimpin pencapaiannya pencapaian ekonomi pemerintahan
136|negatif| dihargai periode jokowi jabatan pikirin
137|netral| berita terbaru naikkan rasio pajak prabowo terkenang orde
138|positif| kasih tau jokowi bangunkan spbu setelag kabupaten puncak jaya papua harga ribu liter liter
140|negatif| bener jokowi penghargaan dimana negeri sampe segitu menang kasihan rakyat
141|netral| sisi industri kreatif inovatif era industri global jokowi tergerak mengubah badan ekonomi kreatif bekraf kementerian
142|netral| bangunkan spbu setelag kabupaten puncak jaya papua harga ribu liter liter
143|positif| bersatu dukung jokowiamin menterinya berestasi pemimpinnya era dimana menterinya meraih penghargaan
145|negatif| kpu pemerintah rezim berkuasa skarang salah prabowo memangnya gaji kpu presiden prabowo
146|negatif| denny menghinakan dihadapan publik hebat sayangnya tolol ilc ayam sayur nyentil agama otakmu belajar ngaji nyentil uah
148|positif| presiden jokowi raja salman sepakat tingkatkan kerja ekonomi
149|negatif| jokowi naikkan tax ratio drastis guncang ekonomi
151|netral| pilih jokowi pingin indonesia maju pilih prabowo ikhlas uang pajak bayar koruptor diksh pensiunan
152|netral| fyi menterinya berestasi pemimpinnya era dimana menterinya meraih penghargaan
153|negatif| dikritik infrastruktur pembiayaan china mencontoh kemandirian china berhasil nyambung koalisi demokrat mengkritik kegagalan ekonomi kesalahan pemimpin
155|positif| mencoblos prabowo sandi beramal gaji prabowo sandi disumbang dhuafa anak yatim
156|positif| presiden jokowi raja salman bin abdulaziz alsaud pertemuan bilateral sepakat meningkatkan kerja bidang ekonomi
158|positif| jokowi bangunkan spbu setelag kabupaten puncak jaya papua harga ribu liter liter tanggal april menggandeng ulama
161|positif| fyi jokowi bangunkan spbu setelag kabupaten puncak jaya papua harga ribu liter liter
162|negatif| difitnah ulama oposisi polri diam digaji uang negara coba pro langsung gaspol tolong teilih buang petinggi polri era tito pedalaman ganti
163|netral| debat kemarin berdua ambil gaji kelak teilih presiden wakil presiden dasar mengambil hak terimakasih
164|netral| pemerintah menyebut ekonomi indonesia tangan anakanak muda kreatif
166|negatif| laku semuan pernyataan masyarakat cerdas muak ketidak adilan ketidak pastian hukum ketidakpastian ekonomi orang anti kritik pembatasan kebebasan beendapat semoga allah hidayah perubahan
168|positif| teenting prabowo sandi berkomitmen menurunkan harga listrik pendukung jae setuju pendukung prabowo sandi setuju semoga prabowo pemimpin tepati janji kampanye kayak jae
174|netral| jokowi warga papua berhak merasakan harga bbm pulau jawa
175|netral| skill anak bangsa dihargai negara april tusuk prabowo sandi
176|netral| jalan tol trans sumatera melanjutkan jokowi duluan ekonomi berkembang setahun disaat ekonomi negara berkembang minus rupiah stabil zaman sby inflasi negara
177|netral| impact negara gimana gamers difasilitasi bikin negara mandang gamers indo hebat diadain penyelenggaraan game internasional indo impact sponsor kunjungan wisatawan meningkat ekonomi maju
178|netral| subsidi sasaran setuju bicara daya beli masyarakat melemah sesaui topik ekonomi bahas setuju
179|netral| psimis orang pecinta game developer game nyerap tenage kerja iyalah game jualan printilan dibutuhin diamond mobilegend dibangun pelan langsung ngubah ekonomi makro
180|netral| lampung aceh makan malam pake jalan pake tol bensin irit barang cepat transport bahan pangan murah harga bahan pokok murah bikin harga bahan pokok dimana
182|negatif| dolar turun tong ngerti ekonomi bicara ekonomi belajar ekonomi
183|netral| dirut pam jakpro diisi sandi pemenang tender penyedia susu perusahaan prabowo terungkap apalah arti uang recehan gaji pokok pejabat publik mending pencitraan diambil
185|negatif| bayar jalan tetep bayar nda langsung pajak gabayar darimana duit perawatannya
186|netral| emang terbukti sandi gubernur ambil gajinya
189|netral| pertemuan jokowi menlu thailand mendorong keterlibatan asean membantu myanmar penyelesaian konflik rohingya khusus jokowi isu terkait harga karet dunia
190|netral| presiden jokowi raja salman sepakat tingkatkan kerja ekonomi news
191|netral| presiden jokowi gelar pertemuan raja salman bahas kerja ekonomi
192|positif| infrastruktur perekonomian pemerataan membangun gratis dibangun hutang dibayar pajak rakyat jagalah amanah rakyat teilih menghianati demokrasi sehat presidenku
193|negatif| litah tk bertulng owo bilng mndiri kaki sndiri bljr cina pjk hpus gji elit exsekutif omng sembako murh listrik murh jokowi negara ambruk murah setahun thun negara nombok trus harga
195|positif| perubahan utama keadilan sosial rakyat indonesia harga sembako murah
196|positif| yusuf mansur menilai ma ruf amin sosok ideal mendampingi jokowi maju pemilihan presiden pilpres pasangan diharapkan mendongkrak ekonomi syariah
200|negatif| bertanding sampe kalah gubernur indonesia anies wina melompat pakar ekonomi kelola keuangan harga ekonomi masy meningkat trus ajakannya suruh ikat pinggang kencang sabar sorry terbiasa jalan kenal sensi
202|positif| pernyataan penutup gemilang kartu mengambil gaji kali tps tusuk prabowo sandi ditambah lg prabowo dana desa inisiatif beliau menjabat sebgai ketua hkti dipolitisasi
203|negatif| sah gundulmu jokowi rangka memperkuat hubungan ekonomi arab kecurangan lapor bawaslu anggota bawaslu dipilih seleksi dpr dpr partai partai pengusung oposisi
205|netral| salam kebangsaan nkri pancasila harga mati sabang maroke politik penonton politik pendapat demokrasi pilih presiden l ngsung rakyat sis
207|positif| harga harga murah pilih prabowo sandi hrga listrik murah pilih prabowo sandi lowongan kerja pilih prabowo sandi hentikan impor panen pilih prabowo sandi pokonya yesss yessss
211|positif| liat video netes air mata doakan semoga menang nasib ekonomi ojol aaminnnn
213|negatif| digital swasembada pangan harga pangan murah dibutuhkan masyarakat dasar tau prioritas kayak periode
214|netral| ngapain digaji udahhh kayaaa raya congggg ngambil dikit gakpapa dikit hehe salam jari prabowo sandi
215|negatif| muslim kaffahnya gaji karyawannya dibayar ngemplang pajak panama papers lupa indonesia bubar maju jalan lucinta luna suka batangan homo ingaaaat
218|negatif| kedaulatan negara ditentukan kedaulatan ekonomi kesejahteraan berdaulat ekonomi salah kelola rezim orba jokowi membenahi dasar pondasi ekonomi analisanya
219|netral| pencapaian berhasil tercapai pertumbuhan ekonomi era pemerintahan jk meningkat
220|netral| pencapaian berhasil tercapai pertumbuhan ekonomi era pemerintahan jk meningkat coblos juara
221|negatif| iya isi dompet kaya ekonomi indonesia salah jalan dompet pasangin kompas pake gps ngumpulin modalnya
223|positif| prabowo concern benahi tata kelola negara pertahanan negara harga bangsa mata dunia sandi fokus garap kekuatan ekonomi sinergikan pemerintah power rakyatnya ulama fokus garap iman akidah akhlaq umat
224|negatif| pemahaman tata negara pemahaman peraturan pemahaman kebijakan ekonomi pemahaman kursi mentri diisi kompeten ketimbang prabowo jatah kursi menteri paol pendukungnya
225|negatif| diserang ekonomi makro woooyyy liat pengangkut sembako tol dijalan mikir jam tinggal bayar terganti pelakunya
226|netral| gileee ratusan juta mata menonton menyaksikan pengakuan berani jujur kebijakan ekonomi salah jokowi slh orang koalosinya prabowo sandi beelukan erat pertanda mrk lg bericara didpn
