id|sentimen|clean_tweet|sentimen_score_lb|sentimen_lexicon|sentimen_class_svm_raw|sentimen_class_svm|attribute
3|positif| sumatera selatan asian games berdampak ekonomi langsung diprediksi mencapai triliun indonesia maju jokowi hebat|0.003565303166612525|netral|2|positif|ekonomi
6|positif| tenang msih ngoceh ttp jokowi harga mati|0.014717421649078926|netral|1|netral|ekonomi
7|positif| kerjasa ekonomi bilateral multilateral doakan tps dengarkan suara hati|0.013132005571713328|netral|2|positif|ekonomi
10|positif| pilih pemimpin pencapaiannya pencapaian ekonomi pemerintahan jokowi coblos kerja|0.020734941156604084|positif|1|netral|ekonomi
12|negatif| nginti abdillahtoha ngacaaa ngajarin sandi ekonomi dibanding jokowi|0.03790470386421091|positif|0|negatif|ekonomi
17|positif| pakta integritas prabowo sandi ulama terlibat ijtimak ulama pancasila nkri harga mati khilafah khilafah bualan makhluk kolam|0.014449009149252762|netral|2|positif|ekonomi
18|netral| dengar mbak vidya curup beli lipstik purbasari harga ribu beli lipstik nyx ribu|0.004588193683584765|netral|0|negatif|ekonomi
20|netral| assalamu alaikum suara sgt berharga upaya memenangkan merelakan suara jkt ktp daerah semoga suara disertakan terbalaskan doa semoga allah swt mengabulkan aamiin rabb|0.038143131010021834|positif|1|netral|ekonomi
22|negatif| menghargai relawan puasa tirakatan munajad semalam suntuk berdoa kemenangan mhn dibalas tweet kontribusi ngopi rokok tirakat mujahadah gagal tirakat munajad|-0.004286592509785753|netral|2|positif|ekonomi
23|positif| prabowo sandi menang otomatis bersedekah kaum farkir miskin dhuafa gaji berfua diambil disedekahkan|0.03252173338906054|positif|2|positif|ekonomi
25|negatif| ummat islam waras cerdas senang beramal coblos prabowo andil beramal gaji beliau diambil untk amal|0.0721390295704152|positif|2|positif|ekonomi
27|negatif| model ngeles petruk ketaker berbusa didepan sandi ngomongin ekonomi makro congkaknya untung sandi sabar kick pantesan menterinya pintar mbodoni juragannya gini pek|0.012418722318728887|netral|0|negatif|ekonomi
29|positif| alhamdulillah capres sedekahkan gajinya rakyat miskin korban gempa pasigala butuh bantuan|0.010053660807756177|netral|2|positif|ekonomi
30|netral| sayah percaya saudara seperjuangan ikhlas negeri berubah lebik lg masyarakatnya damai tenang aman kesejahteraan meningkat harga rendah stabil|0.007521858174590976|netral|1|netral|ekonomi
33|positif| harga cabai harga bawang petaninya kasihan jokowi|0.007189354957441911|netral|0|negatif|ekonomi
34|netral| presiden jokowi raja salman sepakat tingkatkan kerjasama ekonomi via|0.0204770512013075|positif|1|netral|ekonomi
36|positif| terima gaji sbg presiden wapres disumbangkan negara fakir miskin sejarah bangsa indonesia debat pilpres pernyataan penutup prabowosandiaga uno|-0.026697362188032026|negatif|2|positif|ekonomi
37|positif| infrastructure bangun pakai uang pribadi mendukung pakai pajak warga negara bayar|0.011782584129747413|netral|1|netral|ekonomi
38|positif| penghargaan dianugerahkan bukti sosok pemimpin diakui integritasnya|0.045363216715257525|positif|2|positif|ekonomi
39|positif| bersatu jokowikma pencapaian berhasil tercapai pertumbuhan ekonomi era pemerintahan jk meningkat|-0.018412459579370658|negatif|2|positif|ekonomi
41|netral| maaf rakyat butuh pelukan rakyat butuh harga sembako murah listrik tarif turunkan butuh lap kerja janji|0.010587375770681943|netral|0|negatif|ekonomi
43|positif| april pilih jokowikma pertumbuhan ekonomi pemerataan zaman jokowi pertumbuhan ekonomi pemerataan pembangunan|0.006216849942841475|netral|2|positif|ekonomi
45|negatif| surga bahagia bahagiaku sempurna tanpamu gandeng tangan prabowo ustad masuk surga ckckckck salah milih guru ngaji|-0.009022511426290786|negatif|0|negatif|ekonomi
49|positif| penghargaan dianugerahkan bukti sosok pemimpin diakui integritasnya|0.045363216715257525|positif|2|positif|ekonomi
51|netral| presiden jokowi raja salman sepakat tingkatkan kerja ekonomi via|0.0222425124533759|positif|1|netral|ekonomi
52|netral| kasih tau penghargaan dianugerahkan bukti sosok pemimpin diakui integritasnya|0.041001609728943116|positif|2|positif|ekonomi
53|netral| presiden jokowi raja salman sepakat tingkatkan kerja ekonomi via netizen|0.018178625347316103|netral|1|netral|ekonomi
58|negatif| disitu jokowi membahas game online pemain profesional piala presiden mobile legend hadiahnya bersaing didunia online game ekonomi|0.011089525659705356|netral|0|negatif|ekonomi
59|positif| april pilih jokowikma ngerti jokowi belajar ngaji pejabat murni mendalami agama unsur pencitraan|0.008911084130545999|netral|2|positif|ekonomi
63|netral| jokowi capaian pertumbuhan disyukuri indonesia tumbuh kondisi ekonomi global bergejolak|-0.006831472407720593|negatif|1|netral|ekonomi
65|negatif| bersuara keadilan suara id kerja makan gaji buta curang|0.0051581065728484215|netral|0|negatif|ekonomi
66|negatif| jokowi prabowo sandi pecicilan pesimis jalan ekonomi makro mikro tau|-0.031341109371937216|negatif|1|netral|ekonomi
68|netral| berita terbaru prabowo naikkan pajak persen setahun|0.0040426081801693175|netral|1|netral|ekonomi
70|netral| kasih tau pencapaian berhasil tercapai pertumbuhan ekonomi era pemerintahan jk meningkat|-0.017365423496896442|negatif|1|netral|ekonomi
71|positif| presiden bangunkan spbu setelag kabupaten puncak jaya papua harga ribu liter liter|0.016383189625756557|netral|1|netral|ekonomi
72|positif| bersatu menangkan brbagai upaya membangun indonesia bebas korupsi pelayanan berbasis elektronik sistem pengaduan masyarakat penghargaan masyarakat mengungkap korupsi|0.03845996827124582|positif|2|positif|ekonomi
75|netral| bangga jalan ekonomi jatuh nengara menag buka jalanya megah hasil bumi laut melimpah ruah idonesia maju pemenang|-0.001661795453264653|netral|1|netral|ekonomi
78|netral| jas harga mahal pakaian orang eropa amerika|0.002630917826223428|netral|0|negatif|ekonomi
79|netral| prabowo janjikan harga karet kelapa sawit bikin senyum petani|0.021853984478752968|positif|0|negatif|ekonomi
81|negatif| mencontoh ekonomi china sujud|0.020561481634907484|positif|0|negatif|ekonomi
82|positif| fyi pencapaian berhasil tercapai pertumbuhan ekonomi era pemerintahan jk meningkat|-0.018412459579370658|negatif|1|netral|ekonomi
85|negatif| gaji presiden wakil presiden tunjangannya ambil sepeseun gaji tunjangan hebat jualan gaji namanya jualan basi|0.004932962564753025|netral|0|negatif|ekonomi
87|netral| jamu jokowi raja salman sajikan nasi mandhi warta ekonomi|0.008336169218054641|netral|1|netral|ekonomi
89|negatif| moslem menghormati menghargai umat agama cinta damai islam mengajarkan berbuat manusia terkecuali kamipun pendukung bhineka tunggal ika|0.010580601406777659|netral|0|negatif|ekonomi
93|negatif| suudzon samping umroh jokowi membahas kerja bidang ekonomi pemerintahan arab saudi nyinyir urus junjunganmu ziarah kubur nyembah kuburan|-0.011568592817406428|negatif|0|negatif|ekonomi
97|negatif| mahal banget hasilkan harganya mahal power plant produksi|0.033495740292732425|positif|0|negatif|ekonomi
103|netral| fyi penghargaan dianugerahkan bukti sosok pemimpin diakui integritasnya|0.03969281462585034|positif|2|positif|ekonomi
104|negatif| wanita cerewat suaminya cerewet tukang sayur harganya|0.010612000865568131|netral|0|negatif|ekonomi
106|netral| sisi industri kreatif inovatif era industri global jokowi tergerak mengubah badan ekonomi kreatif bekraf kementerian|0.06266936455727909|positif|1|netral|ekonomi
108|netral| mudzakir guru ngaji jokowi anakanak orang dewasa diajari membaca quran privat|0.007948481868051915|netral|2|positif|ekonomi
112|negatif| masyarakat nyata membayar pajak dieksploitasi dirampok hak hartanya menetapkan aturan meraup keuntungan mengeksploitasi merampok harta negara bangsa menghindari pajak|0.004852975183968028|netral|2|positif|ekonomi
113|netral| april coblos jokowima ruf pilih pemimpin pencapaiannya pencapaian ekonomi pemerintahan jokowi|0.02151406528418692|positif|1|netral|ekonomi
115|netral| april pilih jokowikma pemerintah jokowi menyebut ekonomi indonesia tangan anakanak muda kreatif|0.028943202744120745|positif|2|positif|ekonomi
117|negatif| ngaruh jokowi kutub utara rakyat taunya barang harga harga murah berobat gampang kemana hutang negara nambah|0.01811928152357897|netral|0|negatif|ekonomi
