id|sentimen|attribute_new|clean_tweet
3|positif|ekonomi| sumatera selatan asian games berdampak ekonomi langsung diprediksi mencapai triliun indonesia maju jokowi hebat
6|positif|ekonomi| tenang msih ngoceh ttp jokowi harga mati
7|positif|ekonomi| kerjasa ekonomi bilateral multilateral doakan tps dengarkan suara hati
10|positif|ekonomi| pilih pemimpin pencapaiannya pencapaian ekonomi pemerintahan jokowi coblos kerja
12|negatif|ekonomi| nginti abdillahtoha ngacaaa ngajarin sandi ekonomi dibanding jokowi
17|positif|ekonomi| pakta integritas prabowo sandi ulama terlibat ijtimak ulama pancasila nkri harga mati khilafah khilafah bualan makhluk kolam
18|netral|ekonomi| dengar mbak vidya curup beli lipstik purbasari harga ribu beli lipstik nyx ribu
20|netral|ekonomi| assalamu alaikum suara sgt berharga upaya memenangkan merelakan suara jkt ktp daerah semoga suara disertakan terbalaskan doa semoga allah swt mengabulkan aamiin rabb
22|negatif|ekonomi| menghargai relawan puasa tirakatan munajad semalam suntuk berdoa kemenangan mhn dibalas tweet kontribusi ngopi rokok tirakat mujahadah gagal tirakat munajad
23|positif|ekonomi| prabowo sandi menang otomatis bersedekah kaum farkir miskin dhuafa gaji berfua diambil disedekahkan
25|negatif|ekonomi| ummat islam waras cerdas senang beramal coblos prabowo andil beramal gaji beliau diambil untk amal
27|negatif|ekonomi| model ngeles petruk ketaker berbusa didepan sandi ngomongin ekonomi makro congkaknya untung sandi sabar kick pantesan menterinya pintar mbodoni juragannya gini pek
29|positif|ekonomi| alhamdulillah capres sedekahkan gajinya rakyat miskin korban gempa pasigala butuh bantuan
30|netral|ekonomi| sayah percaya saudara seperjuangan ikhlas negeri berubah lebik lg masyarakatnya damai tenang aman kesejahteraan meningkat harga rendah stabil
33|positif|ekonomi| harga cabai harga bawang petaninya kasihan jokowi
34|netral|ekonomi| presiden jokowi raja salman sepakat tingkatkan kerjasama ekonomi via
36|positif|ekonomi| terima gaji sbg presiden wapres disumbangkan negara fakir miskin sejarah bangsa indonesia debat pilpres pernyataan penutup prabowosandiaga uno
37|positif|ekonomi| infrastructure bangun pakai uang pribadi mendukung pakai pajak warga negara bayar
38|positif|ekonomi| penghargaan dianugerahkan bukti sosok pemimpin diakui integritasnya
39|positif|ekonomi| bersatu jokowikma pencapaian berhasil tercapai pertumbuhan ekonomi era pemerintahan jk meningkat
41|netral|ekonomi| maaf rakyat butuh pelukan rakyat butuh harga sembako murah listrik tarif turunkan butuh lap kerja janji
43|positif|ekonomi| april pilih jokowikma pertumbuhan ekonomi pemerataan zaman jokowi pertumbuhan ekonomi pemerataan pembangunan
45|negatif|ekonomi| surga bahagia bahagiaku sempurna tanpamu gandeng tangan prabowo ustad masuk surga ckckckck salah milih guru ngaji
49|positif|ekonomi| penghargaan dianugerahkan bukti sosok pemimpin diakui integritasnya
51|netral|ekonomi| presiden jokowi raja salman sepakat tingkatkan kerja ekonomi via
52|netral|ekonomi| kasih tau penghargaan dianugerahkan bukti sosok pemimpin diakui integritasnya
53|netral|ekonomi| presiden jokowi raja salman sepakat tingkatkan kerja ekonomi via netizen
58|negatif|ekonomi| disitu jokowi membahas game online pemain profesional piala presiden mobile legend hadiahnya bersaing didunia online game ekonomi
59|positif|ekonomi| april pilih jokowikma ngerti jokowi belajar ngaji pejabat murni mendalami agama unsur pencitraan
63|netral|ekonomi| jokowi capaian pertumbuhan disyukuri indonesia tumbuh kondisi ekonomi global bergejolak
65|negatif|ekonomi| bersuara keadilan suara id kerja makan gaji buta curang
66|negatif|ekonomi| jokowi prabowo sandi pecicilan pesimis jalan ekonomi makro mikro tau
68|netral|ekonomi| berita terbaru prabowo naikkan pajak persen setahun
70|netral|ekonomi| kasih tau pencapaian berhasil tercapai pertumbuhan ekonomi era pemerintahan jk meningkat
71|positif|ekonomi| presiden bangunkan spbu setelag kabupaten puncak jaya papua harga ribu liter liter
72|positif|ekonomi| bersatu menangkan brbagai upaya membangun indonesia bebas korupsi pelayanan berbasis elektronik sistem pengaduan masyarakat penghargaan masyarakat mengungkap korupsi
75|netral|ekonomi| bangga jalan ekonomi jatuh nengara menag buka jalanya megah hasil bumi laut melimpah ruah idonesia maju pemenang
78|netral|ekonomi| jas harga mahal pakaian orang eropa amerika
79|netral|ekonomi| prabowo janjikan harga karet kelapa sawit bikin senyum petani
81|negatif|ekonomi| mencontoh ekonomi china sujud
82|positif|ekonomi| fyi pencapaian berhasil tercapai pertumbuhan ekonomi era pemerintahan jk meningkat
85|negatif|ekonomi| gaji presiden wakil presiden tunjangannya ambil sepeseun gaji tunjangan hebat jualan gaji namanya jualan basi
87|netral|ekonomi| jamu jokowi raja salman sajikan nasi mandhi warta ekonomi
89|negatif|ekonomi| moslem menghormati menghargai umat agama cinta damai islam mengajarkan berbuat manusia terkecuali kamipun pendukung bhineka tunggal ika
93|negatif|ekonomi| suudzon samping umroh jokowi membahas kerja bidang ekonomi pemerintahan arab saudi nyinyir urus junjunganmu ziarah kubur nyembah kuburan
97|negatif|ekonomi| mahal banget hasilkan harganya mahal power plant produksi
103|netral|ekonomi| fyi penghargaan dianugerahkan bukti sosok pemimpin diakui integritasnya
104|negatif|ekonomi| wanita cerewat suaminya cerewet tukang sayur harganya
106|netral|ekonomi| sisi industri kreatif inovatif era industri global jokowi tergerak mengubah badan ekonomi kreatif bekraf kementerian
108|netral|ekonomi| mudzakir guru ngaji jokowi anakanak orang dewasa diajari membaca quran privat
112|negatif|ekonomi| masyarakat nyata membayar pajak dieksploitasi dirampok hak hartanya menetapkan aturan meraup keuntungan mengeksploitasi merampok harta negara bangsa menghindari pajak
113|netral|ekonomi| april coblos jokowima ruf pilih pemimpin pencapaiannya pencapaian ekonomi pemerintahan jokowi
115|netral|ekonomi| april pilih jokowikma pemerintah jokowi menyebut ekonomi indonesia tangan anakanak muda kreatif
117|negatif|ekonomi| ngaruh jokowi kutub utara rakyat taunya barang harga harga murah berobat gampang kemana hutang negara nambah
118|netral|ekonomi| teilih presiden wapres prabowosandi berjanji gajinya kaum miskin
121|positif|ekonomi| jokowikma pemimpin optimis penghargaan dianugerahkan bukti sosok pemimpin diakui integritasnya
127|negatif|ekonomi| allah mgkn sosok seorg jokowi berani capres mgkn tlg fitnah presidenku jokowi jln beliau presiden dihargai curiga blg cawapres
131|negatif|ekonomi| gaji mah cegah berantas korupsi cegah berantas korupsi kolusi nepotisme masyarakat jokowi ahok dipercaya masyarakat kemauan keberanian berantas korupsi kolusi nepotisme
134|positif|ekonomi| mencoblos beramal teilih insyaallah menginfakkan gajinya kaum dhuafa suara siasia kawan mari dukung niat
135|netral|ekonomi| pilih pemimpin pencapaiannya pencapaian ekonomi pemerintahan
136|negatif|ekonomi| dihargai periode jokowi jabatan pikirin
137|netral|ekonomi| berita terbaru naikkan rasio pajak prabowo terkenang orde
138|positif|ekonomi| kasih tau jokowi bangunkan spbu setelag kabupaten puncak jaya papua harga ribu liter liter
143|positif|ekonomi| bersatu dukung jokowiamin menterinya berestasi pemimpinnya era dimana menterinya meraih penghargaan
149|negatif|ekonomi| jokowi naikkan tax ratio drastis guncang ekonomi
152|netral|ekonomi| fyi menterinya berestasi pemimpinnya era dimana menterinya meraih penghargaan
153|negatif|ekonomi| dikritik infrastruktur pembiayaan china mencontoh kemandirian china berhasil nyambung koalisi demokrat mengkritik kegagalan ekonomi kesalahan pemimpin
155|positif|ekonomi| mencoblos prabowo sandi beramal gaji prabowo sandi disumbang dhuafa anak yatim
156|positif|ekonomi| presiden jokowi raja salman bin abdulaziz alsaud pertemuan bilateral sepakat meningkatkan kerja bidang ekonomi
161|positif|ekonomi| fyi jokowi bangunkan spbu setelag kabupaten puncak jaya papua harga ribu liter liter
162|negatif|ekonomi| difitnah ulama oposisi polri diam digaji uang negara coba pro langsung gaspol tolong teilih buang petinggi polri era tito pedalaman ganti
163|netral|ekonomi| debat kemarin berdua ambil gaji kelak teilih presiden wakil presiden dasar mengambil hak terimakasih
164|netral|ekonomi| pemerintah menyebut ekonomi indonesia tangan anakanak muda kreatif
166|negatif|ekonomi| laku semuan pernyataan masyarakat cerdas muak ketidak adilan ketidak pastian hukum ketidakpastian ekonomi orang anti kritik pembatasan kebebasan beendapat semoga allah hidayah perubahan
174|netral|ekonomi| jokowi warga papua berhak merasakan harga bbm pulau jawa
176|netral|ekonomi| jalan tol trans sumatera melanjutkan jokowi duluan ekonomi berkembang setahun disaat ekonomi negara berkembang minus rupiah stabil zaman sby inflasi negara
177|netral|ekonomi| impact negara gimana gamers difasilitasi bikin negara mandang gamers indo hebat diadain penyelenggaraan game internasional indo impact sponsor kunjungan wisatawan meningkat ekonomi maju
178|netral|ekonomi| subsidi sasaran setuju bicara daya beli masyarakat melemah sesaui topik ekonomi bahas setuju
179|netral|ekonomi| psimis orang pecinta game developer game nyerap tenage kerja iyalah game jualan printilan dibutuhin diamond mobilegend dibangun pelan langsung ngubah ekonomi makro
180|netral|ekonomi| lampung aceh makan malam pake jalan pake tol bensin irit barang cepat transport bahan pangan murah harga bahan pokok murah bikin harga bahan pokok dimana
182|negatif|ekonomi| dolar turun tong ngerti ekonomi bicara ekonomi belajar ekonomi
185|negatif|ekonomi| bayar jalan tetep bayar nda langsung pajak gabayar darimana duit perawatannya
186|netral|ekonomi| emang terbukti sandi gubernur ambil gajinya
190|netral|ekonomi| presiden jokowi raja salman sepakat tingkatkan kerja ekonomi news
192|positif|ekonomi| infrastruktur perekonomian pemerataan membangun gratis dibangun hutang dibayar pajak rakyat jagalah amanah rakyat teilih menghianati demokrasi sehat presidenku
193|negatif|ekonomi| litah tk bertulng owo bilng mndiri kaki sndiri bljr cina pjk hpus gji elit exsekutif omng sembako murh listrik murh jokowi negara ambruk murah setahun thun negara nombok trus harga
195|positif|ekonomi| perubahan utama keadilan sosial rakyat indonesia harga sembako murah
196|positif|ekonomi| yusuf mansur menilai ma ruf amin sosok ideal mendampingi jokowi maju pemilihan presiden pilpres pasangan diharapkan mendongkrak ekonomi syariah
200|negatif|ekonomi| bertanding sampe kalah gubernur indonesia anies wina melompat pakar ekonomi kelola keuangan harga ekonomi masy meningkat trus ajakannya suruh ikat pinggang kencang sabar sorry terbiasa jalan kenal sensi
205|netral|ekonomi| salam kebangsaan nkri pancasila harga mati sabang maroke politik penonton politik pendapat demokrasi pilih presiden l ngsung rakyat sis
211|positif|ekonomi| liat video netes air mata doakan semoga menang nasib ekonomi ojol aaminnnn
214|netral|ekonomi| ngapain digaji udahhh kayaaa raya congggg ngambil dikit gakpapa dikit hehe salam jari prabowo sandi
215|negatif|ekonomi| muslim kaffahnya gaji karyawannya dibayar ngemplang pajak panama papers lupa indonesia bubar maju jalan lucinta luna suka batangan homo ingaaaat
218|negatif|ekonomi| kedaulatan negara ditentukan kedaulatan ekonomi kesejahteraan berdaulat ekonomi salah kelola rezim orba jokowi membenahi dasar pondasi ekonomi analisanya
219|netral|ekonomi| pencapaian berhasil tercapai pertumbuhan ekonomi era pemerintahan jk meningkat
221|negatif|ekonomi| iya isi dompet kaya ekonomi indonesia salah jalan dompet pasangin kompas pake gps ngumpulin modalnya
224|negatif|ekonomi| pemahaman tata negara pemahaman peraturan pemahaman kebijakan ekonomi pemahaman kursi mentri diisi kompeten ketimbang prabowo jatah kursi menteri paol pendukungnya
231|netral|ekonomi| gelar pertemuan bilateral presiden jokowi raja salman sepakat kerja ekonomi ditingkatkan bidang energi pariwisata
236|negatif|ekonomi| salah arahnya pembangunan ekonomi indonesia terlepas andil menyalahkan kesalahan kesalahan presidenpresiden
238|negatif|ekonomi| harga tiket pesawat diturunkan brharap aspek trlbh dngan mahal harga tiket pswt terbang mahal tarif biaya expdisi kota melonjak
245|negatif|ekonomi| die zaman jokowi ekonomi anjlok gadget bayar wifi bilang anjlok n serba mahal
