id|sentimen|clean_tweet|sentimen_score_lb
3|positif| sumatera selatan asian games berdampak ekonomi langsung diprediksi mencapai triliun indonesia maju jokowi hebat|0.003565303166612525
6|positif| tenang msih ngoceh ttp jokowi harga mati|0.014717421649078926
7|positif| kerjasa ekonomi bilateral multilateral doakan tps dengarkan suara hati|0.013132005571713328
10|positif| pilih pemimpin pencapaiannya pencapaian ekonomi pemerintahan jokowi coblos kerja|0.020734941156604084
12|negatif| nginti abdillahtoha ngacaaa ngajarin sandi ekonomi dibanding jokowi|0.03790470386421091
17|positif| pakta integritas prabowo sandi ulama terlibat ijtimak ulama pancasila nkri harga mati khilafah khilafah bualan makhluk kolam|0.014449009149252763
18|netral| dengar mbak vidya curup beli lipstik purbasari harga ribu beli lipstik nyx ribu|0.004588193683584765
20|netral| assalamu alaikum suara sgt berharga upaya memenangkan merelakan suara jkt ktp daerah semoga suara disertakan terbalaskan doa semoga allah swt mengabulkan aamiin rabb|0.03814313101002184
22|negatif| menghargai relawan puasa tirakatan munajad semalam suntuk berdoa kemenangan mhn dibalas tweet kontribusi ngopi rokok tirakat mujahadah gagal tirakat munajad|-0.004286592509785753
23|positif| prabowo sandi menang otomatis bersedekah kaum farkir miskin dhuafa gaji berfua diambil disedekahkan|0.03252173338906054
25|negatif| ummat islam waras cerdas senang beramal coblos prabowo andil beramal gaji beliau diambil untk amal|0.0721390295704152
27|negatif| model ngeles petruk ketaker berbusa didepan sandi ngomongin ekonomi makro congkaknya untung sandi sabar kick pantesan menterinya pintar mbodoni juragannya gini pek|0.012418722318728889
29|positif| alhamdulillah capres sedekahkan gajinya rakyat miskin korban gempa pasigala butuh bantuan|0.010053660807756177
30|netral| sayah percaya saudara seperjuangan ikhlas negeri berubah lebik lg masyarakatnya damai tenang aman kesejahteraan meningkat harga rendah stabil|0.007521858174590976
33|positif| harga cabai harga bawang petaninya kasihan jokowi|0.007189354957441911
34|netral| presiden jokowi raja salman sepakat tingkatkan kerjasama ekonomi via|0.020477051201307505
36|positif| terima gaji sbg presiden wapres disumbangkan negara fakir miskin sejarah bangsa indonesia debat pilpres pernyataan penutup prabowosandiaga uno|-0.026697362188032026
37|positif| infrastructure bangun pakai uang pribadi mendukung pakai pajak warga negara bayar|0.011782584129747411
38|positif| penghargaan dianugerahkan bukti sosok pemimpin diakui integritasnya|0.045363216715257525
39|positif| bersatu jokowikma pencapaian berhasil tercapai pertumbuhan ekonomi era pemerintahan jk meningkat|-0.018412459579370665
41|netral| maaf rakyat butuh pelukan rakyat butuh harga sembako murah listrik tarif turunkan butuh lap kerja janji|0.010587375770681943
