id|sentimen|clean_tweet
3|positif| sumatera selatan asian games berdampak ekonomi langsung diprediksi mencapai triliun indonesia maju jokowi hebat
6|positif| tenang msih ngoceh ttp jokowi harga mati
7|positif| kerjasa ekonomi bilateral multilateral doakan tps dengarkan suara hati
10|positif| pilih pemimpin pencapaiannya pencapaian ekonomi pemerintahan jokowi coblos kerja
12|negatif| nginti abdillahtoha ngacaaa ngajarin sandi ekonomi dibanding jokowi
17|positif| pakta integritas prabowo sandi ulama terlibat ijtimak ulama pancasila nkri harga mati khilafah khilafah bualan makhluk kolam
18|netral| dengar mbak vidya curup beli lipstik purbasari harga ribu beli lipstik nyx ribu
20|netral| assalamu alaikum suara sgt berharga upaya memenangkan merelakan suara jkt ktp daerah semoga suara disertakan terbalaskan doa semoga allah swt mengabulkan aamiin rabb
22|negatif| menghargai relawan puasa tirakatan munajad semalam suntuk berdoa kemenangan mhn dibalas tweet kontribusi ngopi rokok tirakat mujahadah gagal tirakat munajad
23|positif| prabowo sandi menang otomatis bersedekah kaum farkir miskin dhuafa gaji berfua diambil disedekahkan
25|negatif| ummat islam waras cerdas senang beramal coblos prabowo andil beramal gaji beliau diambil untk amal
27|negatif| model ngeles petruk ketaker berbusa didepan sandi ngomongin ekonomi makro congkaknya untung sandi sabar kick pantesan menterinya pintar mbodoni juragannya gini pek
29|positif| alhamdulillah capres sedekahkan gajinya rakyat miskin korban gempa pasigala butuh bantuan
30|netral| sayah percaya saudara seperjuangan ikhlas negeri berubah lebik lg masyarakatnya damai tenang aman kesejahteraan meningkat harga rendah stabil
33|positif| harga cabai harga bawang petaninya kasihan jokowi
34|netral| presiden jokowi raja salman sepakat tingkatkan kerjasama ekonomi via
36|positif| terima gaji sbg presiden wapres disumbangkan negara fakir miskin sejarah bangsa indonesia debat pilpres pernyataan penutup prabowosandiaga uno
37|positif| infrastructure bangun pakai uang pribadi mendukung pakai pajak warga negara bayar
38|positif| penghargaan dianugerahkan bukti sosok pemimpin diakui integritasnya
39|positif| bersatu jokowikma pencapaian berhasil tercapai pertumbuhan ekonomi era pemerintahan jk meningkat
41|netral| maaf rakyat butuh pelukan rakyat butuh harga sembako murah listrik tarif turunkan butuh lap kerja janji
43|positif| april pilih jokowikma pertumbuhan ekonomi pemerataan zaman jokowi pertumbuhan ekonomi pemerataan pembangunan
45|negatif| surga bahagia bahagiaku sempurna tanpamu gandeng tangan prabowo ustad masuk surga ckckckck salah milih guru ngaji
49|positif| penghargaan dianugerahkan bukti sosok pemimpin diakui integritasnya
51|netral| presiden jokowi raja salman sepakat tingkatkan kerja ekonomi via
52|netral| kasih tau penghargaan dianugerahkan bukti sosok pemimpin diakui integritasnya
53|netral| presiden jokowi raja salman sepakat tingkatkan kerja ekonomi via netizen
58|negatif| disitu jokowi membahas game online pemain profesional piala presiden mobile legend hadiahnya bersaing didunia online game ekonomi
