id|class|attribute|sentimen|tweet_asli|tweet|clean_tweet|attribute_new
3|ekonomi|ekonomi|positif|Bagi Sumatera Selatan, Asian Games berdampak pd ekonomi langsung diprediksi mencapai 18,5 triliun. Indonesia maju, Jokowi hebat!|sumatera selatan asi games dampak ekonomi langsung prediksi capai 18 5 triliun indonesia maju jokowi hebat| sumatera selatan asian games berdampak ekonomi langsung diprediksi mencapai triliun indonesia maju jokowi hebat|ekonomi
6|ekonomi|harga|positif|Masa tenang msih ngoceh aja..ttp jokowi harga mati...|tenang msih ngoceh jokowi harga mati| tenang msih ngoceh ttp jokowi harga mati|ekonomi
7|ekonomi|ekonomi|positif|#UASdifitnahKejiBalasDiTPS   kerjasa ekonomi bilateral, multilateral kita doakan di TPS sambil dengarkan suara hati...  #UASdifitnahKejiBalasDiTPS|kerjasa ekonomi bilateral multilateral doa tps dengar suara hati| kerjasa ekonomi bilateral multilateral doakan tps dengarkan suara hati|ekonomi
10|ekonomi|ekonomi|positif|#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih Pilih pemimpin itu yg udh jelas banyak pencapaiannya. Nah, ini dia 5 pencapaian ekonomi selama pemerintahan Jokowi. Coblos 01 Yuk Kerja Pasti !   https://bit.ly/2OgymxtÂ |pilih pimpin pencapaianya 5 capai ekonomi perintah jokowi coblos 01 kerja| pilih pemimpin pencapaiannya pencapaian ekonomi pemerintahan jokowi coblos kerja|ekonomi
12|ekonomi|ekonomi|negatif|Gak nginti Lu to @yunartowijaya, dan si @AT_AbdillahToha juga gak ngacaaa,, Gak usah ngajarin Sandi soal ekonomi dibanding Jokowi.|gak nginti gak ngaca gak ngajarin sandi ekonomi banding jokowi| nginti abdillahtoha ngacaaa ngajarin sandi ekonomi dibanding jokowi|ekonomi
17|ekonomi|harga|positif|dalam 16 pakta integritas antara Prabowo sandi dan Ulama yg terlibat dalam ijtimak ulama sudah sangat jelas bahwa Pancasila dan NKRI itu adalah harga mati, tidak ada itu khilafah, khilafah hanyalah bualan para makhluk di kolam #UASdifitnahKejiDanBrutal #UASdifitnahKejiBalasDiTPS|16 pakta integritas prabowo sandi ulama libat ijtimak ulama pancasila nkri harga mati khilafah khilafah bual makhluk kolam| pakta integritas prabowo sandi ulama terlibat ijtimak ulama pancasila nkri harga mati khilafah khilafah bualan makhluk kolam|ekonomi
18|ekonomi|harga|netral|Saya dengar pak, Mbak Vidya, dari Curup. Dulu beli lipstik Purbasari harga 25 ribu. Tapi sekarang beli lipstik NYX gak cukup 25 ribu ðŸ˜­|dengar mbak vidya curup beli lipstik purbasari harga 25 ribu beli lipstik nyx gak 25 ribu| dengar mbak vidya curup beli lipstik purbasari harga ribu beli lipstik nyx ribu|ekonomi
20|ekonomi|harga|netral|Assalamu'alaikum.  Saya tahu 1 suara itu sgt berharga dlm upaya memenangkan 02 @prabowo & @sandiuno saya hrs merelakan suara dikarenakan berada di Jkt namun KTP daerah. Semoga suara saya yg tdk disertakan bisa terbalaskan dgn doa. Semoga Allah SWT mengabulkan itu. Aamiin ya Rabb https://twitter.com/sandiuno/status/1117101696696455173Â â€¦|asalamu alaikum 1 suara sgt harga upaya menang 02 rela suara jkt ktp daerah moga suara serta balas dgn doa moga alah swt kabul amin rab| assalamu alaikum suara sgt berharga upaya memenangkan merelakan suara jkt ktp daerah semoga suara disertakan terbalaskan doa semoga allah swt mengabulkan aamiin rabb|ekonomi
22|ekonomi|harga|negatif|@prabowo apa bapak  gak menghargai relawan yg puasa dan tirakatan munajad semalam suntuk berdoa untuk kemenangan 02 ? Mhn dibalas tweet dan kontribusi ngopi rokok dll mereka yg  tirakat/mujahadah .Jika tdk maka 02 akan gagal.Ayo semua  tirakat/ munajad.In|gak harga rawan puasa tirakat munajad malam suntuk doa menang 02 mhn balas twet kontribusi ngopi rokok tirakat mujahadah 02 gagal tirakat munajad insya alah menang 02| menghargai relawan puasa tirakatan munajad semalam suntuk berdoa kemenangan mhn dibalas tweet kontribusi ngopi rokok tirakat mujahadah gagal tirakat munajad|ekonomi
23|ekonomi|gaji|positif|Prabowo sandi menang otomatis kita ikut bersedekah bagi kaum farkir miskin dan dhuafa melalui gaji mereka berfua yg tidak akan diambil dan akan disedekahkan  #17AprilTusukPrabowoSandi|prabowo sandi menang otomatis sedekah kaum farkir miskin dhuafa gaji berfua ambil sedekah| prabowo sandi menang otomatis bersedekah kaum farkir miskin dhuafa gaji berfua diambil disedekahkan|ekonomi
25|ekonomi|ekonomi|negatif|UMMAT ISLAM YG WARAS DAN CERDAS PASTI SENANG BERAMAL,COBLOS PRABOWO  ANDA IKUT ANDIL DLM BERAMAL , GAJI BELIAU TDK DIAMBIL  TP UNTK AMAL***|umat islam waras cerdas senang amal coblos prabowo andil amal gaji beliau ambil untk amal| ummat islam waras cerdas senang beramal coblos prabowo andil beramal gaji beliau diambil untk amal|ekonomi
27|ekonomi|ekonomi|negatif|Model ngeles petruk Sudah ketaker  Ber-busa2 didepan Sandi ngomongin ekonomi makro dg congkaknya  Untung Sandi nya sabar gak di kick balik Pantesan menteri2nya yg pintar2 pada mbodoni  , lha juragannya kyk gini pek*k nya  ..ðŸ˜¢ðŸ˜¬ #UASdifitnahKejiBalasDiTPS @prabowo @sandiuno|model ngeles truk ketaker busa depan sandi ngomongin ekonomi makro congkak untung sandi sabar gak kick pantesan menteri pintar mbodoni juraganya gin pek| model ngeles petruk ketaker berbusa didepan sandi ngomongin ekonomi makro congkaknya untung sandi sabar kick pantesan menterinya pintar mbodoni juragannya gini pek|ekonomi
29|ekonomi|ekonomi|positif|Alhamdulillah Capres 02 Mau sedekahkan Gajinya Untuk Rakyat Miskin..  Disini kami Korban2 Gempa2 pasigala butuh bantuan pak.. @prabowo @sandiuno @karniilyas @rockygerung #PrabowoSandi #02MenangAdilMakmur|alhamdulilah capres 02 sedekah gaji rakyat miskin korban gempa pasigala butuh bantu| alhamdulillah capres sedekahkan gajinya rakyat miskin korban gempa pasigala butuh bantuan|ekonomi
30|ekonomi|harga|netral|No. 5 donk mang.  Dan sayah percaya, semua saudara seperjuangan 02, ikhlas HANYA ingin negeri ini berubah jauh lebik baik lg dari sekarang. Masyarakatnya damai, tenang, aman...kesejahteraan meningkat, harga2 rendah & stabil #UASdifitnahKejiBalasDiTPS #UASdifitnahKejiBalasDiTPS|5 sayah percaya saudara juang 02 ikhlas negeri ubah lebik lg masyarakat damai tenang aman kesejahteran tingkat harga rendah stabil| sayah percaya saudara seperjuangan ikhlas negeri berubah lebik lg masyarakatnya damai tenang aman kesejahteraan meningkat harga rendah stabil|ekonomi
33|ekonomi|harga|positif|Memang tidak bisa kita menghendaki harga cabai sampai Rp 10.000, harga bawang sampai Rp 5.000, petaninya yang kasihan, kata Jokowi #2019JokowiKyaiMaruf #1PeriodeLagiUntukJokowi #PesonaBonoSurfing  https://twitter.com/tag_nusantara/status/1061795598209232896/photo/1 pic.twitter.com/NApI0SoReiÂ |harga cabai rp 10 0 harga bawang rp 5 0 petan kasihan jokowi| harga cabai harga bawang petaninya kasihan jokowi|ekonomi
34|ekonomi|ekonomi|netral|Presiden Jokowi dan Raja Salman Sepakat Tingkatkan Kerjasama Ekonomi  https://apahabar.com/2019/04/presiden-jokowi-dan-raja-salman-sepakat-tingkatkan-kerjasama-ekonomi/Â â€¦ via @apahabar.com|presiden jokowi raja salman sepakat tingkat kerjasama ekonomi via| presiden jokowi raja salman sepakat tingkatkan kerjasama ekonomi via|ekonomi
36|ekonomi|gaji|positif|Tak akan terima gaji sbg presiden dan wapres. Akan disumbangkan ke negara dan fakir miskin..pertama dlm sejarah bangsa Indonesia..  DEBAT PILPRES: PERNYATAAN PENUTUP PRABOWO-SANDIAGA UNO  https://youtu.be/rMQzSqN-U3cÂ  lewat @YouTube|terima gaji sbg presiden wapres sumbang negara fakir miskin sejarah bangsa indonesia debat pilpres pernyatan tutup prabowo sandiaga uno| terima gaji sbg presiden wapres disumbangkan negara fakir miskin sejarah bangsa indonesia debat pilpres pernyataan penutup prabowosandiaga uno|ekonomi
37|ekonomi|pajak|positif|Kalau infrastructure yg di bangun pakai uang pribadi dia boleh lah yg ga mendukung untuk tidak lewat sana,, tp ini pakai pajak dr Semua Warga negara dan setiap lewat pun harus bayar.|infrastructure bangun pakai uang pribadi ga dukung pakai pajak warga negara bayar| infrastructure bangun pakai uang pribadi mendukung pakai pajak warga negara bayar|ekonomi
38|ekonomi|harga|positif|#PilihOrangBaik #PilihYgJelasIslamnya #PilihYgBajuPutih ada Beberapa penghargaan yg dianugerahkan kepadanya, menjadi bukti bahwa @jokowi adalah sosok pemimpin yg diakui integritasnya.  https://nasional.kompas.com/read/2018/09/24/22563621/disaksikan-sandiaga-jokowi-dapat-penghargaan-tokoh-pemerataan-pembangunanÂ â€¦|penghargan anugerah bukti sosok pimpin aku integritas| penghargaan dianugerahkan bukti sosok pemimpin diakui integritasnya|ekonomi
