id|class|attribute|sentimen|tweet_asli|tweet
0|ekonomi|harga|negatif|Kata @prabowo Indonesia tidak dihargai bangsa asing!   Berita ini ðŸ‘‡ pasti hoax buatan penguasa, ya kan @rockygerung?ðŸ˜œ https://twitter.com/mediaindonesia/status/1117575436337160192?s=21Â â€¦|indonesia harga bangsa asing berita hoax buat kuasa
1|ekonomi|harga|netral|Batuan Langka, Tasbih Jokowi Hadiah dari Habib Luthfi Seharga Mercy?  http://dlvr.it/R2pvZVÂ |batu langka tasbih jokowi hadiah habib luthfi harga mercy
2|ekonomi|ekonomi|netral|Di era Jokowi, ekonomi Indonesia semakin baik. #01IndonesiaMaju #JokowiLagi #JokowiMenangTotalDebat pic.twitter.com/W2ythnxsTp|era jokowi ekonomi indonesia
3|ekonomi|ekonomi|positif|Bagi Sumatera Selatan, Asian Games berdampak pd ekonomi langsung diprediksi mencapai 18,5 triliun. Indonesia maju, Jokowi hebat!|sumatera selatan asi games dampak ekonomi langsung prediksi capai 18 5 triliun indonesia maju jokowi hebat
4|ekonomi|penghasilan|negatif|Negara kita ngutang buat bngun infrastruktur yang udah dipake masyarakat, terus masyarakatnya ngeluh karena negara ngutang, setiap negara itu pasti ngutang,  utang bisa dibayar kalo negara dapet penghasilan. Penghasilan negara itu ya dari pajak|negara ngutang bngun infrastruktur udah dipake masyarakat masyarakat ngeluh negara ngutang negara ngutang utang bayar negara dapet hasil hasil negara pajak
5|ekonomi|pertumbuhan|netral|Yg bisikin pak jokowi, cm mikirin perputaran duit di golongan tertentu. E-Sports hanya sebagian kecil dr sekian besar penentu pertumbuhan perekonomian Indonesia, bukan hal fundamental. Betul yg dikatakan prabowo, walau dgn bhs yg sederhana, tp mrpkan aspek fundamental ekonomi|bisikin jokowi mikirin putar duit golong e sports sekian tentu tumbuh ekonomi indonesia fundamental prabowo dgn bhs sederhana mrpkan aspek fundamental ekonomi
6|ekonomi|harga|positif|Masa tenang msih ngoceh aja..ttp jokowi harga mati...|tenang msih ngoceh jokowi harga mati
7|ekonomi|ekonomi|positif|#UASdifitnahKejiBalasDiTPS   kerjasa ekonomi bilateral, multilateral kita doakan di TPS sambil dengarkan suara hati...  #UASdifitnahKejiBalasDiTPS|kerjasa ekonomi bilateral multilateral doa tps dengar suara hati
8|ekonomi|ekonomi|netral|Iya bener Aa, kita MANTAP kan pilihan ke Pemimpin yg bs memberi Solusi @jokowi bukan yg menyalahkan pemimpin sebelumnya @SBYudhoyono dismash sm mas Bowo, percuma koalisi klau mengantam tmn koalisi ðŸ˜‚ & yg plg penting pilih Pemimpin yg Rajin Ibadah Wajib, Bisa NGAJI & JumatanðŸ™ðŸ‘|iya bener mantap pilih pimpin solusi salah pimpin dismash bowo koalisi mengantam tmn koalisi plg pilih pimpin rajin ibadah wajib ngaji jumat
9|ekonomi|gaji|negatif|Prabowo-Sandi Sepakat Tak Ambil Gaji karena Negara Sedang Susah  https://www.goaceh.co/artikel/serbaserbi/2019/04/14/prabowosandi-sepakat-tak-ambil-gaji-karena-negara-sedang-susah/?utm_source=dlvr.it&utm_medium=twitterÂ â€¦ .. ... #GoAceh|prabowo sandi sepakat ambil gaji negara susah
10|ekonomi|ekonomi|positif|#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih Pilih pemimpin itu yg udh jelas banyak pencapaiannya. Nah, ini dia 5 pencapaian ekonomi selama pemerintahan Jokowi. Coblos 01 Yuk Kerja Pasti !   https://bit.ly/2OgymxtÂ |pilih pimpin pencapaianya 5 capai ekonomi perintah jokowi coblos 01 kerja
11|ekonomi|penghasilan|positif|Calon presiden Jokowi menjelaskan program Kartu Pra Kerja akan memberikan insentif dalam kurun waktu tertentu, bukan berarti memberikan gaji secara cuma-cuma bagi masyarakat yang belum berpenghasilan. #2019JokowiKyaiMaruf pic.twitter.com/Nj2hhmiIzv|calon presiden jokowi program kartu pra kerja insentif kurun gaji masyarakat hasil
12|ekonomi|ekonomi|negatif|Gak nginti Lu to @yunartowijaya, dan si @AT_AbdillahToha juga gak ngacaaa,, Gak usah ngajarin Sandi soal ekonomi dibanding Jokowi.|gak nginti gak ngaca gak ngajarin sandi ekonomi banding jokowi
13|ekonomi|harga|positif|Menurut Jokowi, pemerintah selalu berupaya menjaga keseimbangan agar harga pada posisi normal. Petani sebagai produsen senang karena hasil kerjanya dihargai secara layak. #2019JokowiKyaiMaruf #RakyatInginJokowiMenang  https://twitter.com/tag_nusantara/status/1061792783114022912/photo/1 pic.twitter.com/YZpyj7IhSoÂ |jokowi perintah upaya jaga imbang harga posisi normal tani produsen senang hasil kerja harga layak
14|ekonomi|ekonomi|netral|Terlalu berat nge bahas ekonomi dgn angka2.. Cukup bahas mobil lejen aj,|berat bahas ekonomi dgn angka bahas mobil lejen
15|ekonomi|harga|netral|mantulz sekali pak..mengisi masa tenang dg umroh bersama kel tercinta, istri, anak2... pada ahirnya memang  keluarga lah asset plg berharga, sehat sll pakdeee...ðŸ‘ðŸ‘ðŸ‘|mantulz isi tenang umroh kel cinta istri anak ahirnya keluarga aset plg harga sehat sl pakde
16|ekonomi|ekonomi|positif|#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih  Pentingnya sisi industri kreatif dan inovatif di era industri global. Membuat jokowi tergerak untuk mengubah Badan Ekonomi Kreatif (Bekraf) menjadi sebuah kementerian . Coblos 01 Yuk Kerja Pasti !  pic.twitter.com/4VPqiGzAcq|sisi industri kreatif inovatif era industri global jokowi gerak ubah badan ekonomi kreatif bekraf menteri coblos 01 kerja
17|ekonomi|harga|positif|dalam 16 pakta integritas antara Prabowo sandi dan Ulama yg terlibat dalam ijtimak ulama sudah sangat jelas bahwa Pancasila dan NKRI itu adalah harga mati, tidak ada itu khilafah, khilafah hanyalah bualan para makhluk di kolam #UASdifitnahKejiDanBrutal #UASdifitnahKejiBalasDiTPS|16 pakta integritas prabowo sandi ulama libat ijtimak ulama pancasila nkri harga mati khilafah khilafah bual makhluk kolam
18|ekonomi|harga|netral|Saya dengar pak, Mbak Vidya, dari Curup. Dulu beli lipstik Purbasari harga 25 ribu. Tapi sekarang beli lipstik NYX gak cukup 25 ribu ðŸ˜­|dengar mbak vidya curup beli lipstik purbasari harga 25 ribu beli lipstik nyx gak 25 ribu
19|ekonomi|gaji|positif|Prabowo Sejak jadi TNI puluhan tahun nggak dia ambil gajinya serupiah pun. Sandi sejak jadi Wagub jg demikian . Susah ya cari orang seperti mereka?? Yang gak ambil gaji dari hasil mereka kerja untuk negara!!  pic.twitter.com/UX372NjZnW|prabowo tni puluh ambil gaji rupiah sandi wagub susah cari orang gak ambil gaji hasil kerja negara
20|ekonomi|harga|netral|Assalamu'alaikum.  Saya tahu 1 suara itu sgt berharga dlm upaya memenangkan 02 @prabowo & @sandiuno saya hrs merelakan suara dikarenakan berada di Jkt namun KTP daerah. Semoga suara saya yg tdk disertakan bisa terbalaskan dgn doa. Semoga Allah SWT mengabulkan itu. Aamiin ya Rabb https://twitter.com/sandiuno/status/1117101696696455173Â â€¦|asalamu alaikum 1 suara sgt harga upaya menang 02 rela suara jkt ktp daerah moga suara serta balas dgn doa moga alah swt kabul amin rab
21|ekonomi|gaji|negatif|Jika Terpilih, Prabowo-Sandiaga Janji Tak Ambil Gaji  -  Kita tahu mereka orang-orang yang superkaya, mbok ya rendah hatilah jangan menyatakan kata2 berkonotasi angkuh !!  https://m.detik.com/news/berita/d-4509616/jika-terpilih-prabowo-sandiaga-janji-tak-ambil-gaji?utm_content=detikcom&utm_term=echobox&utm_medium=oa&utm_campaign=detikcomsocmed&utm_source=Twitter#Echobox=1555171378Â â€¦|pilih prabowo sandiaga janji ambil gaji orang orang superkaya rendah hati konotasi angkuh
22|ekonomi|harga|negatif|@prabowo apa bapak  gak menghargai relawan yg puasa dan tirakatan munajad semalam suntuk berdoa untuk kemenangan 02 ? Mhn dibalas tweet dan kontribusi ngopi rokok dll mereka yg  tirakat/mujahadah .Jika tdk maka 02 akan gagal.Ayo semua  tirakat/ munajad.In|gak harga rawan puasa tirakat munajad malam suntuk doa menang 02 mhn balas twet kontribusi ngopi rokok tirakat mujahadah 02 gagal tirakat munajad insya alah menang 02
23|ekonomi|gaji|positif|Prabowo sandi menang otomatis kita ikut bersedekah bagi kaum farkir miskin dan dhuafa melalui gaji mereka berfua yg tidak akan diambil dan akan disedekahkan  #17AprilTusukPrabowoSandi|prabowo sandi menang otomatis sedekah kaum farkir miskin dhuafa gaji berfua ambil sedekah
24|ekonomi|ekonomi|positif|#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih  Kepercayaan hanya diberikan pd mrk yg berpengalaman. Seorang @jokowi memiliki wakil yg berpengalaman dibidang ekonomi. Coblos YUK 01 Yaâ€¦.   https://www.merdeka.com/uang/harapan-dan-prediksi-ekonomi-di-tangan-jokowi-maruf-amin.htmlÂ â€¦|kepercayan mrk alam milik wakil alam bidang ekonomi coblos 01
25|ekonomi|ekonomi|negatif|UMMAT ISLAM YG WARAS DAN CERDAS PASTI SENANG BERAMAL,COBLOS PRABOWO  ANDA IKUT ANDIL DLM BERAMAL , GAJI BELIAU TDK DIAMBIL  TP UNTK AMAL***|umat islam waras cerdas senang amal coblos prabowo andil amal gaji beliau ambil untk amal
26|ekonomi|ekonomi|positif|#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih  Keberhasilan tidak hanya dibidang infrastruktur, Jokowi jg berhasil memperbaiki ekonomi Indonesia. Coblos YUK 01 Yaâ€¦.  https://kumparan.com/beritajatim/kein-ada-18-keberhasilan-ekonomi-di-era-jokowi-1546401151770458328Â â€¦|hasil bidang infrastruktur jokowi hasil baik ekonomi indonesia coblos 01
