id|sentimen|clean_tweet
0|negatif|Kata Indonesia tidak dihargai bangsa asing Berita ini pasti hoax buatan penguasa ya kan
1|netral|Batuan Langka Tasbih Jokowi Hadiah dari Habib Luthfi Seharga Mercy
2|netral|Di era Jokowi ekonomi Indonesia semakin baik pic twitter com W2ythnxsTp
3|positif|Bagi Sumatera Selatan Asian Games berdampak pd ekonomi langsung diprediksi mencapai 18 5 triliun Indonesia maju Jokowi hebat
4|negatif|Negara kita ngutang buat bngun infrastruktur yang udah dipake masyarakat terus masyarakatnya ngeluh karena negara ngutang setiap negara itu pasti ngutang utang bisa dibayar kalo negara dapet penghasilan Penghasilan negara itu ya dari pajak
5|netral|Yg bisikin pak jokowi cm mikirin perputaran duit di golongan tertentu E Sports hanya sebagian kecil dr sekian besar penentu pertumbuhan perekonomian Indonesia bukan hal fundamental Betul yg dikatakan prabowo walau dgn bhs yg sederhana tp mrpkan aspek fundamental ekonomi
6|negatif|Masa tenang msih ngoceh aja ttp jokowi harga mati
7|positif|kerjasa ekonomi bilateral multilateral kita doakan di TPS sambil dengarkan suara hati
8|netral|Iya bener Aa kita MANTAP kan pilihan ke Pemimpin yg bs memberi Solusi bukan yg menyalahkan pemimpin sebelumnya dismash sm mas Bowo percuma koalisi klau mengantam tmn koalisi yg plg penting pilih Pemimpin yg Rajin Ibadah Wajib Bisa NGAJI Jumatan
9|negatif|Prabowo Sandi Sepakat Tak Ambil Gaji karena Negara Sedang Susah
10|positif|Pilih pemimpin itu yg udh jelas banyak pencapaiannya Nah ini dia 5 pencapaian ekonomi selama pemerintahan Jokowi Coblos 01 Yuk Kerja Pasti
11|positif|Calon presiden Jokowi menjelaskan program Kartu Pra Kerja akan memberikan insentif dalam kurun waktu tertentu bukan berarti memberikan gaji secara cuma cuma bagi masyarakat yang belum berpenghasilan pic twitter com Nj2hhmiIzv
12|negatif|Gak nginti Lu to dan si AbdillahToha juga gak ngacaaa Gak usah ngajarin Sandi soal ekonomi dibanding Jokowi
13|positif|Menurut Jokowi pemerintah selalu berupaya menjaga keseimbangan agar harga pada posisi normal Petani sebagai produsen senang karena hasil kerjanya dihargai secara layak pic twitter com YZpyj7IhSo
14|netral|Terlalu berat nge bahas ekonomi dgn angka2 Cukup bahas mobil lejen aj
15|netral|mantulz sekali pak mengisi masa tenang dg umroh bersama kel tercinta istri anak2 pada ahirnya memang keluarga lah asset plg berharga sehat sll pakdeee
16|positif|Pentingnya sisi industri kreatif dan inovatif di era industri global Membuat jokowi tergerak untuk mengubah Badan Ekonomi Kreatif Bekraf menjadi sebuah kementerian Coblos 01 Yuk Kerja Pasti pic twitter com 4VPqiGzAcq
17|positif|dalam 16 pakta integritas antara Prabowo sandi dan Ulama yg terlibat dalam ijtimak ulama sudah sangat jelas bahwa Pancasila dan NKRI itu adalah harga mati tidak ada itu khilafah khilafah hanyalah bualan para makhluk di kolam
18|netral|Saya dengar pak Mbak Vidya dari Curup Dulu beli lipstik Purbasari harga 25 ribu Tapi sekarang beli lipstik NYX gak cukup 25 ribu
19|positif|Prabowo Sejak jadi TNI puluhan tahun nggak dia ambil gajinya serupiah pun Sandi sejak jadi Wagub jg demikian Susah ya cari orang seperti mereka Yang gak ambil gaji dari hasil mereka kerja untuk negara pic twitter com UX372NjZnW
20|netral|Assalamu alaikum Saya tahu 1 suara itu sgt berharga dlm upaya memenangkan 02 saya hrs merelakan suara dikarenakan berada di Jkt namun KTP daerah Semoga suara saya yg tdk disertakan bisa terbalaskan dgn doa Semoga Allah SWT mengabulkan itu Aamiin ya Rabb
21|negatif|Jika Terpilih Prabowo Sandiaga Janji Tak Ambil Gaji Kita tahu mereka orang orang yang superkaya mbok ya rendah hatilah jangan menyatakan kata2 berkonotasi angkuh
22|negatif|apa bapak gak menghargai relawan yg puasa dan tirakatan munajad semalam suntuk berdoa untuk kemenangan 02 Mhn dibalas tweet dan kontribusi ngopi rokok dll mereka yg tirakat mujahadah Jika tdk maka 02 akan gagal Ayo semua tirakat munajad In
23|positif|Prabowo sandi menang otomatis kita ikut bersedekah bagi kaum farkir miskin dan dhuafa melalui gaji mereka berfua yg tidak akan diambil dan akan disedekahkan
24|positif|Kepercayaan hanya diberikan pd mrk yg berpengalaman Seorang memiliki wakil yg berpengalaman dibidang ekonomi Coblos YUK 01 Ya
25|negatif|UMMAT ISLAM YG WARAS DAN CERDAS PASTI SENANG BERAMAL COBLOS PRABOWO ANDA IKUT ANDIL DLM BERAMAL GAJI BELIAU TDK DIAMBIL TP UNTK AMAL
26|positif|Keberhasilan tidak hanya dibidang infrastruktur Jokowi jg berhasil memperbaiki ekonomi Indonesia Coblos YUK 01 Ya
27|negatif|Model ngeles petruk Sudah ketaker Ber busa2 didepan Sandi ngomongin ekonomi makro dg congkaknya Untung Sandi nya sabar gak di kick balik Pantesan menteri2nya yg pintar2 pada mbodoni lha juragannya kyk gini pek k nya
28|positif|Dengan memilih 02 kita sudah bersodakoh karna prabowo sandi menyumbangkan gaji mereka untuk negara fakir miskin yatim piatu masjid Jadikan prabowo sandi presiden dan wakil presiden RI
29|positif|Alhamdulillah Capres 02 Mau sedekahkan Gajinya Untuk Rakyat Miskin Disini kami Korban2 Gempa2 pasigala butuh bantuan pak
30|netral|No 5 donk mang Dan sayah percaya semua saudara seperjuangan 02 ikhlas HANYA ingin negeri ini berubah jauh lebik baik lg dari sekarang Masyarakatnya damai tenang aman kesejahteraan meningkat harga2 rendah stabil
31|negatif|Polri Gakan di ladenin sama pak pulisi Karna pak pulisi di gaji sama pake duit bukaan sama RAKYAT lapor nya nanti aja tunggu udah ganti presiden
32|negatif|baguslah pendukung jokowi tebang pohon bkn dg golok gergaji tapi dg ranting pohon itu sendiri jadi elektabilitas jokowi nyungseb bkn oleh lawan politiknya tapi oleh pendukung dari dalam sendiri TOLOL DIPELIHARA DASAR EBONG
33|positif|Memang tidak bisa kita menghendaki harga cabai sampai Rp 10 000 harga bawang sampai Rp 5 000 petaninya yang kasihan kata Jokowi pic twitter com NApI0SoRei
34|netral|Presiden Jokowi dan Raja Salman Sepakat Tingkatkan Kerjasama Ekonomi via com
35|negatif|02 kelar hidupmu bisanya cuma harga mahal turunkan solusi 0 kubu Prabowo bahlull
36|positif|Tak akan terima gaji sbg presiden dan wapres Akan disumbangkan ke negara dan fakir miskin pertama dlm sejarah bangsa Indonesia DEBAT PILPRES PERNYATAAN PENUTUP PRABOWO SANDIAGA UNO lewat
37|positif|Kalau infrastructure yg di bangun pakai uang pribadi dia boleh lah yg ga mendukung untuk tidak lewat sana tp ini pakai pajak dr Semua Warga negara dan setiap lewat pun harus bayar
38|positif|ada Beberapa penghargaan yg dianugerahkan kepadanya menjadi bukti bahwa adalah sosok pemimpin yg diakui integritasnya
39|positif|Bersatu Bersama Jokowi KMA Berbagai pencapaian telah berhasil tercapai Khususnya pertumbuhan ekonomi di era pemerintahan JK sangat jauh meningkat
40|netral|Orang luar negeri sangat menghargai prestasi yg sudah dilakukan JOKOWI tetapi dinegaranya sendiri banyak yg mencaci
41|netral|Maaf Pak Rakyat tdk butuh pelukan Rakyat butuh harga sembako murah Listrik tarif turunkan butuh lap kerja bukan janji2 saja
42|netral|Winter is coming Pidato Jokowi di IMF Bank Dunia Ibaratkan Ekonomi Dunia seperti Game Of Thrones Game of Throne Presiden Jokowi Penting Kekuatan Bersama Untuk Kalahkan Evil Winter pic twitter com B8bZPjbFFi
43|positif|17 April Pilih Jokowi KMA Dulu sekadar ada pertumbuhan ekonomi tanpa pemerataan Namun di zaman Pak Jokowi bukan hanya pertumbuhan ekonomi tapi juga pemerataan pembangunan
44|netral|Jokowi dan Raja Salman Sepakat Tingkatkan Kerja Sama Ekonomi pic twitter com Gudihikymw
45|negatif|Meskipun aku di surga Mungkin aku tak bahagia Bahagiaku tak sempurna Bila itu tanpamu Gandeng tangan prabowo Baru jadi ustad sudah yakin masuk surga Ckckckck Salah milih guru ngaji gue
46|negatif|Buat anggota ID anda tdk layak digaji sebaiknya rasa malu diutamakan daripada isi perut Gede bacot minim torehan prestasi cc
47|netral|Gasah mengejek program pa jokowi karena program ini jg tdk asal pasti sdh dipikirkan mateng seperti program kis dulu mari kita hargai jgn saling menghujat
48|netral|Monggo silahkan itu hak anda hargai juga kami yg inginkan perubahan lebih baik
49|positif|Beberapa penghargaan yg dianugerahkan kepadanya menjadi bukti bahwa adalah sosok pemimpin yg diakui integritasnya
50|negatif|He he he sok bijak nih antek ORBA Pikirkan Letjen pecatan yang bilang biang kerok ekonomi Indonesia adalah Presiden sebelum Jokowi ada Jenderal SBY Gimana demokrat ngga beralih dukungan ke Jokowi coba
51|netral|Presiden Jokowi dan Raja Salman Sepakat Tingkatkan Kerja Sama Ekonomi via
52|netral|gue kasih tau Beberapa penghargaan yg dianugerahkan kepadanya menjadi bukti bahwa adalah sosok pemimpin yg diakui integritasnya
53|netral|Presiden Jokowi dan Raja Salman Sepakat Tingkatkan Kerja Sama Ekonomi via Netizen
54|positif|Dalam penjelasannya Kyai mau menjadi cawapres karna punya komitmen terkait ekonomi umat dgn apa yg disebutnya sebagai arus baru ekonomi Indonesia membangun ekonomi dri bawah
55|positif|Menterinya aja berprestasi apalagi pemimpinnya Bisa dikatakan era lah dimana sejumlah menterinya banyak meraih penghargaan
56|negatif|4 Jokowi Naikkan Tax Ratio Drastis Bisa Guncang Ekonomi
57|positif|Lalu berbagai pencapaian telah berhasil tercapai Khususnya pertumbuhan ekonomi di era pemerintahan JK sangat jauh meningkat
58|negatif|Disitu pak jokowi hanya membahas game online bagi pemain profesional bahkan sekarang udah ada piala presiden Mobile legend dan hadiahnya sangat besar Jika kita mau bersaing didunia online seperti game ekonomi kita juga akan naik
59|positif|17 April Pilih Jokowi KMA Pada ngerti kan kalo Pak Jokowi belajar ngaji sejak sebelum jadi pejabat Murni mendalami agama tanpa unsur pencitraan
60|positif|from sandiuno repost media app Prabowo Sandi tidak ingin gagal fokus Kita ingin pembangunan besar besaran ini berdampak langsung pada ekonomi dan kesejahteraan
61|negatif|Alasan Prabowo Sandi Tak Terima Gaji Jika Menang Negara Sedang Susah
62|negatif|He he he pikirkan Letjen pecatan yang bilang biang kerok ekonomi presiden2 sebelum Jokowi ada Jenderal SBY ada Jenderal Soeharto yg bintang nya sampe lima dungu
63|netral|Jokowi menambahkan capaian pertumbuhan itu perlu disyukuri karena Indonesia tetap tumbuh meski kondisi ekonomi global sedang bergejolak pic twitter com y4PFLSTk8l
64|positif|Janji Tak Ambil Gaji Jika Menang Pilpres Prabowo Bukti Kita Tulus
65|negatif|Terus lah bersuara minta keadilan 1 suara begitu berarti ID kerja yang benar jangan makan gaji buta Jangan curang
66|negatif|Jelas Jokowi lah Prabowo dan Sandi pecicilan Selalu pesimis tanpa jalan keluar jelas Ekonomi Makro dan Mikro saja tak tau
67|positif|gue kasih tau Menterinya aja berprestasi apalagi pemimpinnya Bisa dikatakan era lah dimana sejumlah menterinya banyak meraih penghargaan
68|netral|Berita terbaru Prabowo Saya Tak Ingin Naikkan Pajak 16 Persen dalam Setahun telah ada di pic twitter com 8o7biqQ0gn
69|positif|Jokowi menjelaskan pembangunan dan merevitalisasi pasar rakyat ini menjadi dasar utama dalam pembangunan ekonomi berbasis kerakyatan Dengan demikian kekuatan ekonomi Indonesia bisa lebih stabil pic twitter com XYt9VIWpRJ
70|netral|gue kasih tau Berbagai pencapaian telah berhasil tercapai Khususnya pertumbuhan ekonomi di era pemerintahan JK sangat jauh meningkat
